symbol,quantity,algo,open_px
MFA,5,VWAP,9.090000
TSN,0,VWAP,58.650002
COHU,0,VWAP,50.580002
O,0,VWAP,64.339996
NSP,0,VWAP,50.580002
BKNG,0,VWAP,207.449997
CVLG,0,VWAP,35.360001
LGND,0,VWAP,306.079987
JPM,0,VWAP,362.809998
IDCC,0,VWAP,331.570007
AZTA,-2,VWAP,31.820000
HOPE,0,VWAP,14.160000
MCK,0,VWAP,912.190002
SYK,0,VWAP,340.450012
MOV,0,VWAP,39.080002
CRK,0,VWAP,13.280000
LCII,0,VWAP,106.660004
MYRG,0,VWAP,333.549988
HNRG,-3,VWAP,14.750000
NLY,2,VWAP,22.709999
MT,0,VWAP,74.040001
AFG,0,VWAP,146.080002
WLY,0,VWAP,54.240002
LAMR,0,VWAP,158.229996
THG,0,VWAP,230.550003
SENEA,0,VWAP,170.889999
EL,0,VWAP,87.879997
NWPX,0,VWAP,124.239998
AQN,26,VWAP,5.830000
NTAP,0,VWAP,185.539993
CVSA,0,VWAP,127.650002
DHI,0,VWAP,150.429993
CBZ,0,VWAP,54.650002
WAT,0,VWAP,397.940002
BMY,0,VWAP,64.900002
MIDD,0,VWAP,135.339996
TGTX,0,VWAP,49.990002
KAI,0,VWAP,333.970001
CXW,-1,VWAP,28.820000
HIG,0,VWAP,144.500000
BCO,0,VWAP,117.150002
INCY,0,VWAP,119.800003
CORT,0,VWAP,111.000000
MKTX,0,VWAP,162.500000
WINA,0,VWAP,364.089996
IOSP,0,VWAP,92.500000
UTHR,0,VWAP,519.789978
GEF,0,VWAP,90.379997
CAR,0,VWAP,139.960007
IAG,2,VWAP,15.530000
HUBG,-1,VWAP,48.040001
FIS,0,VWAP,42.500000
NBIX,0,VWAP,161.279999
GVA,0,VWAP,124.790001
CNI,0,VWAP,127.800003
ATI,0,VWAP,219.990005
COR,0,VWAP,321.880005
LNT,0,VWAP,71.050003
FICO,0,VWAP,1087.280029
GPK,5,VWAP,11.870000
BRK.A,0,VWAP,783701.000000
BRK.B,0,VWAP,524.109985
STRA,0,VWAP,83.559998
COLM,0,VWAP,57.290001
NYT,0,VWAP,64.750000
VIAV,0,VWAP,38.000000
OCFC,0,VWAP,20.000000
PEGA,1,VWAP,30.950001
BELFB,0,VWAP,291.640015
